
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
31,,Michael Kirkman*,27,0,1,.000,1.59,12,0,1,0,0,0,5.2,5,1,1,0,1,0,3,2,0,0,22,260,3.66,1.059,7.9,0.0,1.6,4.8,3.00
32,,Hector Noesi,27,0,0,,11.81,3,0,1,0,0,0,5.1,11,7,7,0,2,0,4,0,0,0,28,35,2.76,2.438,18.6,0.0,3.4,6.8,2.00
33,,Justin Germano,31,0,0,,11.81,2,0,1,0,0,0,5.1,8,7,7,1,3,1,3,1,0,0,28,35,6.69,2.063,13.5,1.7,5.1,5.1,1.00
34,,Matt West,25,0,0,,6.75,3,0,1,0,0,0,4.0,6,3,3,0,1,0,3,0,0,0,18,63,2.38,1.750,13.5,0.0,2.3,6.8,3.00
35,,Seth Rosin,25,1,0,1.000,6.75,3,0,2,0,0,0,4.0,6,3,3,0,1,0,3,0,0,0,19,63,2.38,1.750,13.5,0.0,2.3,6.8,3.00
36,,Phil Irwin,27,0,1,.000,6.75,1,1,0,0,0,0,4.0,6,3,3,1,2,0,2,1,0,1,20,63,7.63,2.000,13.5,2.3,4.5,4.5,1.00
37,,Daniel McCutchen,31,0,0,,7.71,1,0,0,0,0,0,2.1,4,3,2,1,2,0,0,0,0,0,14,58,11.27,2.571,15.4,3.9,7.7,0.0,0.00
38,,J.P. Arencibia,28,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,,3.13,1.000,9.0,0.0,0.0,0.0,
39,,Chris Gimenez,31,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,,1.13,0.000,0.0,0.0,0.0,9.0,
40,,Mitch Moreland*,28,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.13,0.000,0.0,0.0,0.0,0.0,
,,Team Totals,27.8,67,95,.414,4.49,162,162,156,6,4,33,1426.1,1510,773,711,160,505,43,1110,61,7,61,6195,87,4.22,1.413,9.5,1.0,3.2,7.0,2.20
,,Rank in 15 AL teams,,15,1,,14,,,,3,2,13,15,14,14,14,14,14,,14,,,,,,,,,,,,
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
