
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
21,,Zac Rosscup*,26,1,0,1.000,9.45,18,0,5,0,0,0,13.1,14,14,14,2,12,1,21,0,0,0,66,41,4.63,1.950,9.5,1.4,8.1,14.2,1.75
22,,Jose Veras,33,0,1,.000,8.10,12,0,4,0,0,0,13.1,12,12,12,2,11,0,13,3,0,3,64,48,6.28,1.725,8.1,1.4,7.4,8.8,1.18
23,,Kyuji Fujikawa,33,0,0,,4.85,15,0,6,0,0,0,13.0,18,8,7,2,6,2,17,2,0,2,64,80,4.36,1.846,12.5,1.4,4.2,11.8,2.83
24,,Chris Rusin*,27,0,0,,7.11,4,0,2,0,0,0,12.2,16,10,10,1,5,1,8,0,0,1,58,54,4.08,1.658,11.4,0.7,3.6,5.7,1.60
25,,Dallas Beeler,25,0,2,.000,3.27,2,2,0,0,0,0,11.0,10,5,4,0,7,1,6,0,0,1,46,118,3.95,1.545,8.2,0.0,5.7,4.9,0.86
26,,Arodys Vizcaino,23,0,0,,5.40,5,0,5,0,0,0,5.0,5,3,3,1,3,0,4,0,0,0,22,75,5.93,1.600,9.0,1.8,5.4,7.2,1.33
27,,John Baker,33,1,0,1.000,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,3,,6.13,1.000,0.0,0.0,9.0,0.0,0.00
,,Team Totals,28.1,73,89,.451,3.91,162,162,161,1,1,37,1463.1,1398,707,636,115,504,37,1311,55,3,64,6208,96,3.51,1.300,8.6,0.7,3.1,8.1,2.60
,,Rank in 15 NL teams,,12,3,,13,,,,13,9,13,5,12,13,13,3,11,,2,,,,,,,,,,,,
Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
