
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
Adam Rosales,31,46,44,37,362.0,278,230,46,2,36,.993,4,14,7,23,6.86,5.31,,,,,,,,1B-3B-2B-SS-DH
Seth Rosin,25,3,0,0,4.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Robbie Ross,25,27,12,0,78.1,12,2,8,2,0,.833,,,1,3,1.15,0.37,,,2,2,50%,26%,0,P
Ben Rowen,25,8,0,0,8.2,3,0,3,0,0,1.000,,,0,0,3.12,0.38,,,3,0,0%,27%,0,P
Ryan Rua,24,26,28,25,229.0,94,87,7,0,7,1.000,-0,-2,-2,-10,3.69,3.24,,,,,,,,LF-1B-3B-DH
Luis Sardinas,21,36,31,23,260.1,117,44,69,4,17,.966,1,5,-2,-9,3.91,2.57,,,,,,,,2B-SS-3B-DH
Joe Saunders,33,8,8,0,39.2,8,2,5,1,1,.875,,,0,0,1.59,0.88,,,1,1,50%,26%,0,P
Tanner Scheppers,27,8,4,0,23.0,4,0,3,1,0,.750,,,0,0,1.17,0.38,,,1,0,0%,27%,0,P
Jake Smolinski,25,21,23,19,172.0,41,41,0,0,0,1.000,0,1,0,0,2.15,1.71,,,,,,,,LF-RF-DH
Brad Snyder,32,10,8,8,77.0,68,63,4,1,9,.985,-1,-8,1,16,7.83,6.70,,,,,,,,1B
Joakim Soria,30,35,0,0,33.1,7,1,5,1,0,.857,,,0,0,1.62,0.17,,,0,0,,,0,P
Geovany Soto,31,10,10,9,88.0,93,91,2,0,0,1.000,-2,-27,-3,-40,9.51,9.30,0,8,5,1,17%,26%,0,C
Tomas Telis,23,17,18,17,149.0,112,105,6,1,0,.991,-3,-24,-2,-15,6.70,6.17,0,8,16,1,6%,27%,0,C-DH
Nick Tepesch,25,23,22,0,126.0,24,6,18,0,1,1.000,,,-1,-1,1.71,1.04,,,4,6,60%,27%,4,P
Shawn Tolleson,26,65,0,0,71.2,11,5,6,0,0,1.000,,,-2,-5,1.38,0.17,,,4,2,33%,26%,0,P
Matt West,25,3,0,0,4.0,0,0,0,0,0,,,,0,0,0.00,0.00,,,0,0,,,0,P
Jerome Williams,32,2,2,0,10.0,1,0,1,0,0,1.000,,,-1,-18,0.90,0.50,,,1,0,0%,27%,0,P
Josh Wilson,33,23,19,13,175.2,98,28,69,1,18,.990,4,28,4,28,4.97,3.73,,,,,,,,2B-3B-SS
Team Totals,28.2,162,1458,1186,12837.0,5798,4279,1413,106,155,.982,-46,-4,,,3.99,2.78,9,61,85,36,30%,27%,14,
Rank in 15 AL teams,,,,,,,,,11,,13,,,,,,,,,,,,,,
Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary
